Title:               Japan / U.S. Foreign Exchange Rate
Series ID:           AEXJPUS
Source:              Board of Governors of the Federal Reserve System (US)
Release:             G.5A Foreign Exchange Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Japanese Yen to One U.S. Dollar
Date Range:          1971-01-01 to 2018-01-01
Last Updated:        2019-01-07 6:01 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York City for
                     cable transfers payable in foreign currencies.

DATE           VALUE
1971-01-01  347.7857
1972-01-01  303.1250
1973-01-01  271.3055
1974-01-01  291.8446
1975-01-01  296.7849
1976-01-01  296.4544
1977-01-01  268.6194
1978-01-01  210.3854
1979-01-01  219.0168
1980-01-01  226.6309
1981-01-01  220.6281
1982-01-01  249.0601
1983-01-01  237.5535
1984-01-01  237.4622
1985-01-01  238.4673
1986-01-01  168.3496
1987-01-01  144.6023
1988-01-01  128.1742
1989-01-01  138.0738
1990-01-01  144.9987
1991-01-01  134.5909
1992-01-01  126.7801
1993-01-01  111.0755
1994-01-01  102.1790
1995-01-01   93.9649
1996-01-01  108.7800
1997-01-01  121.0581
1998-01-01  130.9892
1999-01-01  113.7342
2000-01-01  107.8040
2001-01-01  121.5680
2002-01-01  125.2204
2003-01-01  115.9387
2004-01-01  108.1508
2005-01-01  110.1069
2006-01-01  116.3121
2007-01-01  117.7623
2008-01-01  103.3906
2009-01-01   93.6827
2010-01-01   87.7817
2011-01-01   79.6967
2012-01-01   79.8180
2013-01-01   97.5971
2014-01-01  105.7398
2015-01-01  121.0491
2016-01-01  108.6569
2017-01-01  112.0986
2018-01-01  110.4002
