Title:               Malaysia / U.S. Foreign Exchange Rate
Series ID:           AEXMAUS
Source:              Board of Governors of the Federal Reserve System (US)
Release:             G.5A Foreign Exchange Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Malaysian Ringgit to One U.S. Dollar
Date Range:          1971-01-01 to 2018-01-01
Last Updated:        2019-01-07 6:01 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York City for
                     cable transfers payable in foreign currencies.

DATE         VALUE
1971-01-01  3.0318
1972-01-01  2.8085
1973-01-01  2.4468
1974-01-01  2.4070
1975-01-01  2.4029
1976-01-01  2.5422
1977-01-01  2.4625
1978-01-01  2.3168
1979-01-01  2.1883
1980-01-01  2.1768
1981-01-01  2.3048
1982-01-01  2.3356
1983-01-01  2.3205
1984-01-01  2.3428
1985-01-01  2.4807
1986-01-01  2.5831
1987-01-01  2.5186
1988-01-01  2.6190
1989-01-01  2.7079
1990-01-01  2.7049
1991-01-01  2.7503
1992-01-01  2.5463
1993-01-01  2.5738
1994-01-01  2.6237
1995-01-01  2.5073
1996-01-01  2.5154
1997-01-01  2.8173
1998-01-01  3.9254
1999-01-01  3.8000
2000-01-01  3.8000
2001-01-01  3.8000
2002-01-01  3.8000
2003-01-01  3.8000
2004-01-01  3.8000
2005-01-01  3.7869
2006-01-01  3.6661
2007-01-01  3.4354
2008-01-01  3.3292
2009-01-01  3.5231
2010-01-01  3.2175
2011-01-01  3.0564
2012-01-01  3.0862
2013-01-01  3.1488
2014-01-01  3.2697
2015-01-01  3.9041
2016-01-01  4.1372
2017-01-01  4.2982
2018-01-01  4.0303
