Title:               Norway / U.S. Foreign Exchange Rate
Series ID:           AEXNOUS
Source:              Board of Governors of the Federal Reserve System (US)
Release:             G.5A Foreign Exchange Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Norwegian Kroner to One U.S. Dollar
Date Range:          1971-01-01 to 2018-01-01
Last Updated:        2019-01-07 6:01 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York CIty for
                     cable transfers payable in foreign currencies.

DATE         VALUE
1971-01-01  7.0222
1972-01-01  6.5875
1973-01-01  5.7535
1974-01-01  5.5255
1975-01-01  5.2283
1976-01-01  5.4590
1977-01-01  5.3240
1978-01-01  5.2467
1979-01-01  5.0651
1980-01-01  4.9382
1981-01-01  5.7431
1982-01-01  6.4568
1983-01-01  7.3013
1984-01-01  8.1597
1985-01-01  8.5934
1986-01-01  7.3985
1987-01-01  6.7409
1988-01-01  6.5243
1989-01-01  6.9131
1990-01-01  6.2621
1991-01-01  6.4912
1992-01-01  6.2142
1993-01-01  7.1009
1994-01-01  7.0553
1995-01-01  6.3355
1996-01-01  6.4594
1997-01-01  7.0857
1998-01-01  7.5521
1999-01-01  7.8071
2000-01-01  8.8131
2001-01-01  8.9964
2002-01-01  7.9839
2003-01-01  7.0803
2004-01-01  6.7399
2005-01-01  6.4412
2006-01-01  6.4095
2007-01-01  5.8557
2008-01-01  5.6365
2009-01-01  6.2908
2010-01-01  6.0451
2011-01-01  5.6022
2012-01-01  5.8181
2013-01-01  5.8772
2014-01-01  6.2969
2015-01-01  8.0681
2016-01-01  8.3936
2017-01-01  8.2679
2018-01-01  8.1297
