Title:               Sweden / U.S. Foreign Exchange Rate
Series ID:           AEXSDUS
Source:              Board of Governors of the Federal Reserve System (US)
Release:             G.5A Foreign Exchange Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Swedish Kronor to One U.S. Dollar
Date Range:          1971-01-01 to 2018-01-01
Last Updated:        2019-01-07 6:01 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York City for
                     cable transfers payable in foreign currencies.

DATE          VALUE
1971-01-01   5.1051
1972-01-01   4.7571
1973-01-01   4.3619
1974-01-01   4.4387
1975-01-01   4.1531
1976-01-01   4.3580
1977-01-01   4.4802
1978-01-01   4.5207
1979-01-01   4.2893
1980-01-01   4.2310
1981-01-01   5.0660
1982-01-01   6.2839
1983-01-01   7.6718
1984-01-01   8.2708
1985-01-01   8.6032
1986-01-01   7.1273
1987-01-01   6.3469
1988-01-01   6.1370
1989-01-01   6.4559
1990-01-01   5.9231
1991-01-01   6.0521
1992-01-01   5.8258
1993-01-01   7.7956
1994-01-01   7.7161
1995-01-01   7.1406
1996-01-01   6.7082
1997-01-01   7.6447
1998-01-01   7.9522
1999-01-01   8.2740
2000-01-01   9.1735
2001-01-01  10.3425
2002-01-01   9.7233
2003-01-01   8.0787
2004-01-01   7.3480
2005-01-01   7.4710
2006-01-01   7.3718
2007-01-01   6.7550
2008-01-01   6.5846
2009-01-01   7.6539
2010-01-01   7.2053
2011-01-01   6.4878
2012-01-01   6.7721
2013-01-01   6.5124
2014-01-01   6.8576
2015-01-01   8.4350
2016-01-01   8.5541
2017-01-01   8.5430
2018-01-01   8.6938
