Title:               Switzerland / U.S. Foreign Exchange Rate
Series ID:           AEXSZUS
Source:              Board of Governors of the Federal Reserve System (US)
Release:             G.5A Foreign Exchange Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Swiss Francs to One U.S. Dollar
Date Range:          1971-01-01 to 2018-01-01
Last Updated:        2019-01-07 6:01 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York City for
                     cable transfers payable in foreign currencies.

DATE         VALUE
1971-01-01  4.1171
1972-01-01  3.8186
1973-01-01  3.1688
1974-01-01  2.9805
1975-01-01  2.5839
1976-01-01  2.5002
1977-01-01  2.4065
1978-01-01  1.7907
1979-01-01  1.6644
1980-01-01  1.6772
1981-01-01  1.9675
1982-01-01  2.0319
1983-01-01  2.1007
1984-01-01  2.3500
1985-01-01  2.4552
1986-01-01  1.7979
1987-01-01  1.4918
1988-01-01  1.4643
1989-01-01  1.6369
1990-01-01  1.3901
1991-01-01  1.4356
1992-01-01  1.4064
1993-01-01  1.4781
1994-01-01  1.3667
1995-01-01  1.1812
1996-01-01  1.2361
1997-01-01  1.4514
1998-01-01  1.4506
1999-01-01  1.5045
2000-01-01  1.6904
2001-01-01  1.6891
2002-01-01  1.5567
2003-01-01  1.3450
2004-01-01  1.2428
2005-01-01  1.2459
2006-01-01  1.2532
2007-01-01  1.1999
2008-01-01  1.0816
2009-01-01  1.0860
2010-01-01  1.0432
2011-01-01  0.8862
2012-01-01  0.9377
2013-01-01  0.9269
2014-01-01  0.9147
2015-01-01  0.9628
2016-01-01  0.9848
2017-01-01  0.9842
2018-01-01  0.9784
