Title:               U.S. / Australia Foreign Exchange Rate
Series ID:           AEXUSAL
Source:              Board of Governors of the Federal Reserve System (US)
Release:             G.5A Foreign Exchange Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               U.S. Dollars to One Australian Dollar
Date Range:          1971-01-01 to 2018-01-01
Last Updated:        2019-01-07 6:01 AM CST
Notes:               Average of daily figures. Noon buying rates in New York City for cable
                     transfers payable in foreign currencies.

DATE         VALUE
1971-01-01  1.1360
1972-01-01  1.1923
1973-01-01  1.4190
1974-01-01  1.4389
1975-01-01  1.3077
1976-01-01  1.2215
1977-01-01  1.1082
1978-01-01  1.1441
1979-01-01  1.1177
1980-01-01  1.1395
1981-01-01  1.1495
1982-01-01  1.0165
1983-01-01  0.9014
1984-01-01  0.8795
1985-01-01  0.7003
1986-01-01  0.6709
1987-01-01  0.7014
1988-01-01  0.7841
1989-01-01  0.7919
1990-01-01  0.7807
1991-01-01  0.7787
1992-01-01  0.7352
1993-01-01  0.6799
1994-01-01  0.7316
1995-01-01  0.7407
1996-01-01  0.7828
1997-01-01  0.7437
1998-01-01  0.6291
1999-01-01  0.6454
2000-01-01  0.5815
2001-01-01  0.5169
2002-01-01  0.5437
2003-01-01  0.6524
2004-01-01  0.7365
2005-01-01  0.7627
2006-01-01  0.7535
2007-01-01  0.8391
2008-01-01  0.8537
2009-01-01  0.7927
2010-01-01  0.9200
2011-01-01  1.0332
2012-01-01  1.0359
2013-01-01  0.9683
2014-01-01  0.9034
2015-01-01  0.7522
2016-01-01  0.7445
2017-01-01  0.7671
2018-01-01  0.7483
