Title:               Belgium / U.S. Foreign Exchange Rate (DISCONTINUED)
Series ID:           EXBEUS
Source:              Federal Reserve Bank of St. Louis
Release:             Transitional Euro Country Exchange Rates (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Belgian Francs to One U.S. Dollar
Date Range:          1971-01-01 to 2001-12-01
Last Updated:        2006-03-08 9:21 AM CST
Notes:               Average of daily figures. Noon buying rates in New York City for cable
                     transfers payable in foreign currencies. Starting January 1999 derived
                     using the official fixed euro conversion rates.

DATE        VALUE
1971-01-01  49.64
1971-02-01  49.63
1971-03-01  49.64
1971-04-01  49.64
1971-05-01  49.59
1971-06-01  49.73
1971-07-01  49.67
1971-08-01  49.15
1971-09-01  47.80
1971-10-01  46.86
1971-11-01  46.36
1971-12-01  45.49
1972-01-01  44.42
1972-02-01  43.84
1972-03-01  43.94
1972-04-01  44.11
1972-05-01  43.98
1972-06-01  43.94
1972-07-01  43.83
1972-08-01  43.87
1972-09-01  43.97
1972-10-01  44.17
1972-11-01  44.08
1972-12-01  44.11
1973-01-01  44.12
1973-02-01  41.77
1973-03-01  39.41
1973-04-01  40.17
1973-05-01  39.45
1973-06-01  37.54
1973-07-01  35.53
1973-08-01  37.01
1973-09-01  36.92
1973-10-01  36.59
1973-11-01  38.66
1973-12-01  40.45
1974-01-01  42.87
1974-02-01  41.06
1974-03-01  39.94
1974-04-01  38.95
1974-05-01  37.66
1974-06-01  37.93
1974-07-01  37.91
1974-08-01  38.74
1974-09-01  39.43
1974-10-01  38.56
1974-11-01  37.70
1974-12-01  36.83
1975-01-01  35.48
1975-02-01  34.78
1975-03-01  34.38
1975-04-01  35.17
1975-05-01  34.93
1975-06-01  34.96
1975-07-01  36.89
1975-08-01  38.27
1975-09-01  39.25
1975-10-01  38.97
1975-11-01  39.04
1975-12-01  39.51
1976-01-01  39.30
1976-02-01  39.13
1976-03-01  39.25
1976-04-01  38.96
1976-05-01  39.19
1976-06-01  39.65
1976-07-01  39.71
1976-08-01  39.01
1976-09-01  38.40
1976-10-01  37.28
1976-11-01  36.97
1976-12-01  36.39
1977-01-01  36.70
1977-02-01  36.88
1977-03-01  36.69
1977-04-01  36.35
1977-05-01  36.10
1977-06-01  36.09
1977-07-01  35.45
1977-08-01  35.58
1977-09-01  35.83
1977-10-01  35.42
1977-11-01  35.22
1977-12-01  33.79
1978-01-01  32.87
1978-02-01  32.34
1978-03-01  31.66
1978-04-01  31.83
1978-05-01  32.83
1978-06-01  32.69
1978-07-01  32.40
1978-08-01  31.42
1978-09-01  31.05
1978-10-01  29.01
1978-11-01  29.96
1978-12-01  29.74
1979-01-01  29.18
1979-02-01  29.28
1979-03-01  29.44
1979-04-01  30.06
1979-05-01  30.55
1979-06-01  30.27
1979-07-01  29.21
1979-08-01  29.29
1979-09-01  28.84
1979-10-01  28.86
1979-11-01  28.72
1979-12-01  28.23
1980-01-01  28.02
1980-02-01  28.39
1980-03-01  29.96
1980-04-01  30.19
1980-05-01  28.77
1980-06-01  28.30
1980-07-01  27.96
1980-08-01  28.67
1980-09-01  28.70
1980-10-01  29.53
1980-11-01  30.81
1980-12-01  31.71
1981-01-01  32.32
1981-02-01  34.52
1981-03-01  34.53
1981-04-01  35.44
1981-05-01  37.40
1981-06-01  38.86
1981-07-01  39.96
1981-08-01  40.88
1981-09-01  38.53
1981-10-01  37.66
1981-11-01  37.42
1981-12-01  38.30
1982-01-01  39.03
1982-02-01  41.14
1982-03-01  44.38
1982-04-01  45.29
1982-05-01  43.67
1982-06-01  46.18
1982-07-01  47.03
1982-08-01  47.48
1982-09-01  48.30
1982-10-01  49.10
1982-11-01  49.60
1982-12-01  47.49
1983-01-01  46.89
1983-02-01  47.74
1983-03-01  47.52
1983-04-01  48.58
1983-05-01  49.24
1983-06-01  50.93
1983-07-01  51.86
1983-08-01  53.61
1983-09-01  53.84
1983-10-01  53.03
1983-11-01  54.54
1983-12-01  55.94
1984-01-01  57.35
1984-02-01  55.28
1984-03-01  53.14
1984-04-01  54.08
1984-05-01  55.93
1984-06-01  55.84
1984-07-01  57.71
1984-08-01  58.28
1984-09-01  61.13
1984-10-01  62.05
1984-11-01  60.48
1984-12-01  62.38
1985-01-01  63.45
1985-02-01  66.31
1985-03-01  66.31
1985-04-01  62.28
1985-05-01  62.57
1985-06-01  61.72
1985-07-01  58.63
1985-08-01  56.54
1985-09-01  57.40
1985-10-01  53.62
1985-11-01  52.47
1985-12-01  51.25
1986-01-01  49.84
1986-02-01  47.75
1986-03-01  46.60
1986-04-01  46.39
1986-05-01  45.50
1986-06-01  45.63
1986-07-01  44.30
1986-08-01  42.70
1986-09-01  42.31
1986-10-01  41.64
1986-11-01  42.07
1986-12-01  41.38
1987-01-01  38.62
1987-02-01  37.79
1987-03-01  38.03
1987-04-01  37.55
1987-05-01  37.09
1987-06-01  37.71
1987-07-01  38.33
1987-08-01  38.53
1987-09-01  37.66
1987-10-01  37.49
1987-11-01  35.19
1987-12-01  34.19
1988-01-01  34.58
1988-02-01  35.47
1988-03-01  35.08
1988-04-01  34.96
1988-05-01  35.38
1988-06-01  36.79
1988-07-01  38.65
1988-08-01  39.56
1988-09-01  39.15
1988-10-01  38.08
1988-11-01  36.67
1988-12-01  36.82
1989-01-01  38.44
1989-02-01  38.79
1989-03-01  39.14
1989-04-01  39.15
1989-05-01  40.72
1989-06-01  41.41
1989-07-01  39.56
1989-08-01  40.31
1989-09-01  40.84
1989-10-01  39.20
1989-11-01  38.40
1989-12-01  36.54
1990-01-01  35.45
1990-02-01  35.00
1990-03-01  35.40
1990-04-01  34.87
1990-05-01  34.32
1990-06-01  34.60
1990-07-01  33.72
1990-08-01  32.28
1990-09-01  32.28
1990-10-01  31.37
1990-11-01  30.65
1990-12-01  31.01
1991-01-01  31.09
1991-02-01  30.48
1991-03-01  33.21
1991-04-01  35.02
1991-05-01  35.36
1991-06-01  36.69
1991-07-01  36.75
1991-08-01  35.89
1991-09-01  34.88
1991-10-01  34.79
1991-11-01  33.39
1991-12-01  32.20
1992-01-01  32.50
1992-02-01  33.31
1992-03-01  34.19
1992-04-01  33.93
1992-05-01  33.39
1992-06-01  32.36
1992-07-01  30.72
1992-08-01  29.82
1992-09-01  29.92
1992-10-01  30.58
1992-11-01  32.66
1992-12-01  32.54
1993-01-01  33.25
1993-02-01  33.84
1993-03-01  33.92
1993-04-01  32.86
1993-05-01  33.04
1993-06-01  34.01
1993-07-01  35.48
1993-08-01  35.99
1993-09-01  34.85
1993-10-01  35.67
1993-11-01  36.23
1993-12-01  35.69
1994-01-01  36.21
1994-02-01  35.77
1994-03-01  34.86
1994-04-01  34.98
1994-05-01  34.11
1994-06-01  33.51
1994-07-01  32.32
1994-08-01  32.25
1994-09-01  31.90
1994-10-01  31.28
1994-11-01  31.69
1994-12-01  32.33
1995-01-01  31.54
1995-02-01  30.91
1995-03-01  29.04
1995-04-01  28.42
1995-05-01  29.01
1995-06-01  28.79
1995-07-01  28.56
1995-08-01  29.74
1995-09-01  30.04
1995-10-01  29.10
1995-11-01  29.15
1995-12-01  29.62
1996-01-01  30.08
1996-02-01  30.17
1996-03-01  30.37
1996-04-01  30.90
1996-05-01  31.50
1996-06-01  31.43
1996-07-01  30.95
1996-08-01  30.55
1996-09-01  31.06
1996-10-01  31.47
1996-11-01  31.15
1996-12-01  31.99
1997-01-01  33.09
1997-02-01  34.56
1997-03-01  34.96
1997-04-01  35.33
1997-05-01  35.19
1997-06-01  35.65
1997-07-01  37.04
1997-08-01  38.01
1997-09-01  36.88
1997-10-01  36.27
1997-11-01  35.74
1997-12-01  36.75
1998-01-01  37.54
1998-02-01  37.42
1998-03-01  37.70
1998-04-01  37.42
1998-05-01  36.62
1998-06-01  36.98
1998-07-01  37.07
1998-08-01  36.85
1998-09-01  35.05
1998-10-01  33.81
1998-11-01  34.71
1998-12-01  34.44
1999-01-01  34.80
1999-02-01  36.01
1999-03-01  37.06
1999-04-01  37.70
1999-05-01  37.95
1999-06-01  38.87
1999-07-01  38.90
1999-08-01  38.04
1999-09-01  38.43
1999-10-01  37.68
1999-11-01  39.06
1999-12-01  39.90
2000-01-01  39.82
2000-02-01  41.02
2000-03-01  41.83
2000-04-01  42.69
2000-05-01  44.53
2000-06-01  42.44
2000-07-01  42.98
2000-08-01  44.60
2000-09-01  46.39
2000-10-01  47.32
2000-11-01  47.17
2000-12-01  44.91
2001-01-01  43.02
2001-02-01  43.82
2001-03-01  44.41
2001-04-01  45.20
2001-05-01  46.09
2001-06-01  47.29
2001-07-01  46.83
2001-08-01  44.75
2001-09-01  44.26
2001-10-01  44.57
2001-11-01  45.41
2001-12-01  45.26
