Title:               Netherlands / U.S. Foreign Exchange Rate (DISCONTINUED)
Series ID:           EXNEUS
Source:              Federal Reserve Bank of St. Louis
Release:             Transitional Euro Country Exchange Rates (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dutch Guilder to One U.S. Dollar
Date Range:          1971-01-01 to 2001-12-01
Last Updated:        2006-03-08 9:21 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York City for
                     cable transfers payable in foreign currencies. Starting January 1999
                     derived using the official fixed euro conversion rates.

DATE         VALUE
1971-01-01  3.5946
1971-02-01  3.5953
1971-03-01  3.5951
1971-04-01  3.6003
1971-05-01  3.5543
1971-06-01  3.5632
1971-07-01  3.5591
1971-08-01  3.4929
1971-09-01  3.4124
1971-10-01  3.3589
1971-11-01  3.3327
1971-12-01  3.2784
1972-01-01  3.2185
1972-02-01  3.1778
1972-03-01  3.1864
1972-04-01  3.2111
1972-05-01  3.2129
1972-06-01  3.1954
1972-07-01  3.1824
1972-08-01  3.2095
1972-09-01  3.2290
1972-10-01  3.2395
1972-11-01  3.2295
1972-12-01  3.2298
1973-01-01  3.2171
1973-02-01  3.0246
1973-03-01  2.8714
1973-04-01  2.9507
1973-05-01  2.8962
1973-06-01  2.7345
1973-07-01  2.5845
1973-08-01  2.6608
1973-09-01  2.5961
1973-10-01  2.4996
1973-11-01  2.6850
1973-12-01  2.8079
1974-01-01  2.9410
1974-02-01  2.8294
1974-03-01  2.7514
1974-04-01  2.6732
1974-05-01  2.5974
1974-06-01  2.6487
1974-07-01  2.6320
1974-08-01  2.6728
1974-09-01  2.7123
1974-10-01  2.6570
1974-11-01  2.6018
1974-12-01  2.5427
1975-01-01  2.4565
1975-02-01  2.4054
1975-03-01  2.3741
1975-04-01  2.4219
1975-05-01  2.4050
1975-06-01  2.4096
1975-07-01  2.5556
1975-08-01  2.6395
1975-09-01  2.6866
1975-10-01  2.6557
1975-11-01  2.6571
1975-12-01  2.6857
1976-01-01  2.6717
1976-02-01  2.6646
1976-03-01  2.6919
1976-04-01  2.6870
1976-05-01  2.7168
1976-06-01  2.7379
1976-07-01  2.7291
1976-08-01  2.6745
1976-09-01  2.6050
1976-10-01  2.5469
1976-11-01  2.5203
1976-12-01  2.4852
1977-01-01  2.5034
1977-02-01  2.5118
1977-03-01  2.4951
1977-04-01  2.4714
1977-05-01  2.4570
1977-06-01  2.4798
1977-07-01  2.4402
1977-08-01  2.4492
1977-09-01  2.4628
1977-10-01  2.4362
1977-11-01  2.4175
1977-12-01  2.3286
1978-01-01  2.2685
1978-02-01  2.2286
1978-03-01  2.1743
1978-04-01  2.1807
1978-05-01  2.2521
1978-06-01  2.2363
1978-07-01  2.2185
1978-08-01  2.1647
1978-09-01  2.1400
1978-10-01  2.0013
1978-11-01  2.0617
1978-12-01  2.0367
1979-01-01  1.9972
1979-02-01  2.0058
1979-03-01  2.0080
1979-04-01  2.0495
1979-05-01  2.0777
1979-06-01  2.0677
1979-07-01  2.0073
1979-08-01  2.0078
1979-09-01  1.9752
1979-10-01  1.9852
1979-11-01  1.9732
1979-12-01  1.9199
1980-01-01  1.9038
1980-02-01  1.9274
1980-03-01  2.0310
1980-04-01  2.0603
1980-05-01  1.9736
1980-06-01  1.9389
1980-07-01  1.9108
1980-08-01  1.9492
1980-09-01  1.9457
1980-10-01  1.9985
1980-11-01  2.0790
1980-12-01  2.1403
1981-01-01  2.1842
1981-02-01  2.3330
1981-03-01  2.3307
1981-04-01  2.4010
1981-05-01  2.5500
1981-06-01  2.6447
1981-07-01  2.7152
1981-08-01  2.7776
1981-09-01  2.6109
1981-10-01  2.4913
1981-11-01  2.4442
1981-12-01  2.4734
1982-01-01  2.5145
1982-02-01  2.5948
1982-03-01  2.6186
1982-04-01  2.6594
1982-05-01  2.5710
1982-06-01  2.6848
1982-07-01  2.7239
1982-08-01  2.7295
1982-09-01  2.7444
1982-10-01  2.7608
1982-11-01  2.7861
1982-12-01  2.6698
1983-01-01  2.6310
1983-02-01  2.6779
1983-03-01  2.6834
1983-04-01  2.7486
1983-05-01  2.7737
1983-06-01  2.8557
1983-07-01  2.8985
1983-08-01  2.9912
1983-09-01  2.9844
1983-10-01  2.9206
1983-11-01  3.0078
1983-12-01  3.0857
1984-01-01  3.1602
1984-02-01  3.0465
1984-03-01  2.9326
1984-04-01  2.9864
1984-05-01  3.0926
1984-06-01  3.0882
1984-07-01  3.2155
1984-08-01  3.2539
1984-09-01  3.4188
1984-10-01  3.4598
1984-11-01  3.3817
1984-12-01  3.5035
1985-01-01  3.5819
1985-02-01  3.7387
1985-03-01  3.7290
1985-04-01  3.4981
1985-05-01  3.5097
1985-06-01  3.4535
1985-07-01  3.2733
1985-08-01  3.1429
1985-09-01  3.1921
1985-10-01  2.9819
1985-11-01  2.9230
1985-12-01  2.8293
1986-01-01  2.7489
1986-02-01  2.6343
1986-03-01  2.5678
1986-04-01  2.5629
1986-05-01  2.5082
1986-06-01  2.5154
1986-07-01  2.4236
1986-08-01  2.3242
1986-09-01  2.3050
1986-10-01  2.2663
1986-11-01  2.2870
1986-12-01  2.2470
1987-01-01  2.0978
1987-02-01  2.0592
1987-03-01  2.0731
1987-04-01  2.0440
1987-05-01  2.0154
1987-06-01  2.0490
1987-07-01  2.0814
