Title:               Portugal / U.S. Foreign Exchange Rate (DISCONTINUED)
Series ID:           EXPOUS
Source:              Federal Reserve Bank of St. Louis
Release:             Transitional Euro Country Exchange Rates (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Portuguese Escudos to One U.S. Dollar
Date Range:          1973-01-01 to 2001-12-01
Last Updated:        2006-03-08 9:21 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York City for
                     cable transfers payable in foreign currencies. Starting January 1999
                     derived using the official fixed euro conversion rates.

DATE         VALUE
1973-01-01   26.82
1973-02-01   25.95
1973-03-01   24.41
1973-04-01   25.27
1973-05-01   24.97
1973-06-01   23.71
1973-07-01   22.41
1973-08-01   23.13
1973-09-01   23.37
1973-10-01   23.25
1973-11-01   24.31
1973-12-01   25.32
1974-01-01   26.89
1974-02-01   25.94
1974-03-01   25.31
1974-04-01   24.87
1974-05-01   24.37
1974-06-01   24.90
1974-07-01   25.07
1974-08-01   25.47
1974-09-01   25.93
1974-10-01   25.48
1974-11-01   25.06
1974-12-01   24.75
1975-01-01   24.48
1975-02-01   24.31
1975-03-01   24.23
1975-04-01   24.63
1975-05-01   24.43
1975-06-01   24.32
1975-07-01   25.51
1975-08-01   26.53
1975-09-01   27.00
1975-10-01   26.77
1975-11-01   26.80
1975-12-01   27.15
1976-01-01   27.35
1976-02-01   27.48
1976-03-01   28.60
1976-04-01   29.62
1976-05-01   30.13
1976-06-01   31.11
1976-07-01   31.44
1976-08-01   31.27
1976-09-01   31.19
1976-10-01   31.33
1976-11-01   31.51
1976-12-01   31.58
1977-01-01   31.98
1977-02-01   32.56
1977-03-01   38.79
1977-04-01   38.83
1977-05-01   38.73
1977-06-01   38.76
1977-07-01   38.53
1977-08-01   38.95
1977-09-01   40.64
1977-10-01   40.65
1977-11-01   40.69
1977-12-01   40.40
1978-01-01   40.26
1978-02-01   40.31
1978-03-01   40.85
1978-04-01   41.54
1978-05-01   45.07
1978-06-01   45.75
1978-07-01   45.58
1978-08-01   45.37
1978-09-01   45.56
1978-10-01   44.77
1978-11-01   46.50
1978-12-01   46.58
1979-01-01   46.82
1979-02-01   47.47
1979-03-01   47.95
1979-04-01   48.82
1979-05-01   49.47
1979-06-01   49.53
1979-07-01   48.66
1979-08-01   49.18
1979-09-01   49.27
1979-10-01   50.03
1979-11-01   50.37
1979-12-01   49.91
1980-01-01   49.87
1980-02-01   48.49
1980-03-01   49.73
1980-04-01   50.52
1980-05-01   49.27
1980-06-01   48.97
1980-07-01   48.86
1980-08-01   49.60
1980-09-01   49.76
1980-10-01   50.62
1980-11-01   52.14
1980-12-01   53.27
1981-01-01   53.80
1981-02-01   56.43
1981-03-01   56.75
1981-04-01   58.22
1981-05-01   60.80
1981-06-01   62.91
1981-07-01   64.82
1981-08-01   66.67
1981-09-01   65.50
1981-10-01   64.70
1981-11-01   64.38
1981-12-01   65.35
1982-01-01   66.49
1982-02-01   69.07
1982-03-01   70.49
1982-04-01   72.49
1982-05-01   70.61
1982-06-01   78.48
1982-07-01   84.51
1982-08-01   85.91
1982-09-01   87.70
1982-10-01   89.65
1982-11-01   91.91
1982-12-01   92.68
1983-01-01   94.55
1983-02-01   93.77
1983-03-01   95.87
1983-04-01   99.05
1983-05-01   99.52
1983-06-01  107.39
1983-07-01  119.03
1983-08-01  123.03
1983-09-01  124.41
1983-10-01  124.41
1983-11-01  127.82
1983-12-01  131.91
1984-01-01  136.29
1984-02-01  135.08
1984-03-01  131.70
1984-04-01  134.45
1984-05-01  139.85
1984-06-01  141.83
1984-07-01  152.17
1984-08-01  151.02
1984-09-01  158.45
1984-10-01  163.36
1984-11-01  163.10
1984-12-01  167.31
1985-01-01  172.56
1985-02-01  183.24
1985-03-01  183.98
1985-04-01  174.56
1985-05-01  177.55
1985-06-01  176.15
1985-07-01  169.77
1985-08-01  167.34
1985-09-01  172.56
1985-10-01  164.59
1985-11-01  162.96
1985-12-01  160.80
1986-01-01  157.99
1986-02-01  152.63
1986-03-01  149.40
1986-04-01  150.79
1986-05-01  149.12
1986-06-01  151.09
1986-07-01  148.67
1986-08-01  146.17
1986-09-01  146.83
1986-10-01  147.24
1986-11-01  149.54
1986-12-01  148.61
1987-01-01  142.90
1987-02-01  141.62
1987-03-01  141.48
1987-04-01  140.30
1987-05-01  139.18
1987-06-01  142.12
1987-07-01  144.51
1987-08-01  145.57
1987-09-01  142.94
1987-10-01  142.82
1987-11-01  136.85
1987-12-01  133.77
1988-01-01  135.87
1988-02-01  138.84
1988-03-01  137.48
1988-04-01  136.77
1988-05-01  138.45
1988-06-01  143.55
1988-07-01  150.43
1988-08-01  153.72
1988-09-01  154.18
1988-10-01  150.13
1988-11-01  145.57
1988-12-01  145.56
1989-01-01  150.75
1989-02-01  152.10
1989-03-01  154.05
1989-04-01  154.54
1989-05-01  160.71
1989-06-01  164.92
1989-07-01  158.31
1989-08-01  161.15
1989-09-01  163.36
1989-10-01  159.08
1989-11-01  157.65
1989-12-01  152.34
1990-01-01  149.17
1990-02-01  147.71
1990-03-01  150.59
1990-04-01  149.29
1990-05-01  147.08
1990-06-01  147.90
1990-07-01  143.93
1990-08-01  138.71
1990-09-01  139.18
1990-10-01  134.41
1990-11-01  130.87
1990-12-01  132.82
1991-01-01  134.43
1991-02-01  130.45
1991-03-01  140.97
1991-04-01     148
1991-05-01  149.59
1991-06-01  156.37
1991-07-01  154.20
1991-08-01  149.72
1991-09-01  145.64
1991-10-01  145.41
1991-11-01  141.43
1991-12-01  138.90
1992-01-01  136.92
1992-02-01  139.47
1992-03-01  143.26
1992-04-01  141.09
1992-05-01  135.23
1992-06-01  130.79
1992-07-01  126.24
1992-08-01  124.98
1992-09-01  127.86
1992-10-01  132.33
1992-11-01  141.71
1992-12-01  142.05
1993-01-01  145.36
1993-02-01  149.89
1993-03-01  152.17
1993-04-01  148.25
1993-05-01  151.89
1993-06-01  157.63
1993-07-01  167.87
1993-08-01  173.27
1993-09-01  166.28
1993-10-01  169.60
1993-11-01  173.93
1993-12-01  174.58
1994-01-01  176.04
1994-02-01  175.15
1994-03-01     174
1994-04-01  173.54
1994-05-01  171.15
1994-06-01  168.76
1994-07-01  160.98
1994-08-01  159.80
1994-09-01  157.91
1994-10-01  155.26
1994-11-01  157.27
1994-12-01  161.21
1995-01-01  157.86
1995-02-01  155.36
1995-03-01  147.92
1995-04-01  145.89
1995-05-01  148.40
1995-06-01  147.63
1995-07-01  145.88
