Title:               U.S. / Ireland Foreign Exchange Rate (DISCONTINUED)
Series ID:           EXUSIR
Source:              Federal Reserve Bank of St. Louis
Release:             Transitional Euro Country Exchange Rates (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               U.S. Dollars to One Irish Pound
Date Range:          1971-01-01 to 2001-12-01
Last Updated:        2006-03-08 9:21 AM CST
Notes:               Averages of daily figures. Noon buying rates in New York City for
                     cable transfers payable in foreign currencies. Starting January 1999
                     derived using the official fixed euro conversion rates.

DATE         VALUE
1971-01-01  2.4058
1971-02-01  2.4178
1971-03-01  2.4187
1971-04-01  2.4179
1971-05-01  2.4187
1971-06-01  2.4185
1971-07-01  2.4185
1971-08-01  2.4346
1971-09-01  2.4694
1971-10-01  2.4906
1971-11-01  2.4933
1971-12-01  2.5266
1972-01-01  2.5705
1972-02-01  2.5987
1972-03-01  2.6181
1972-04-01  2.6102
1972-05-01  2.6124
1972-06-01  2.5691
1972-07-01  2.4447
1972-08-01  2.4502
1972-09-01  2.4410
1972-10-01  2.3948
1972-11-01  2.3510
1972-12-01  2.3449
1973-01-01  2.3563
1973-02-01  2.4275
1973-03-01  2.4724
1973-04-01  2.4837
1973-05-01  2.5306
1973-06-01  2.5762
1973-07-01  2.5375
1973-08-01  2.4757
1973-09-01  2.4183
1973-10-01  2.4292
1973-11-01  2.3870
1973-12-01  2.3174
1974-01-01  2.2240
1974-02-01  2.2749
1974-03-01  2.3406
1974-04-01  2.3886
1974-05-01  2.4137
1974-06-01  2.3902
1974-07-01  2.3896
1974-08-01  2.3456
1974-09-01  2.3165
1974-10-01  2.3330
1974-11-01  2.3250
1974-12-01  2.3294
1975-01-01  2.3623
1975-02-01  2.3958
1975-03-01  2.4180
1975-04-01  2.3707
1975-05-01  2.3205
1975-06-01  2.2803
1975-07-01  2.1845
1975-08-01  2.1143
1975-09-01  2.0834
1975-10-01  2.0568
1975-11-01  2.0484
1975-12-01  2.0221
1976-01-01  2.0286
1976-02-01  2.0262
1976-03-01  1.9428
1976-04-01  1.8463
1976-05-01  1.8079
1976-06-01  1.7640
1976-07-01  1.7850
1976-08-01  1.7828
1976-09-01  1.7272
1976-10-01  1.6377
1976-11-01  1.6381
1976-12-01  1.6784
1977-01-01  1.7124
1977-02-01  1.7103
1977-03-01  1.7174
1977-04-01  1.7190
1977-05-01  1.7185
1977-06-01  1.7191
1977-07-01  1.7226
1977-08-01  1.7397
1977-09-01  1.7431
1977-10-01  1.7711
1977-11-01  1.8178
1977-12-01  1.8546
1978-01-01  1.9353
1978-02-01  1.9396
1978-03-01  1.9055
1978-04-01  1.8497
1978-05-01  1.8181
1978-06-01  1.8372
1978-07-01  1.8949
1978-08-01  1.9406
1978-09-01  1.9595
1978-10-01  2.0075
1978-11-01  1.9608
1978-12-01  1.9861
1979-01-01  2.0053
1979-02-01  2.0042
1979-03-01  2.0373
1979-04-01  2.0197
1979-05-01  1.9843
1979-06-01  2.0001
1979-07-01  2.0679
1979-08-01  2.0579
1979-09-01  2.0918
1979-10-01  2.0828
1979-11-01  2.0870
1979-12-01  2.1277
1980-01-01  2.1431
1980-02-01  2.1159
1980-03-01  2.0225
1980-04-01  1.9898
1980-05-01  2.0741
1980-06-01  2.1116
1980-07-01  2.1474
1980-08-01  2.1062
1980-09-01  2.1034
1980-10-01  2.0388
1980-11-01  1.9459
1980-12-01  1.8901
1981-01-01  1.8554
1981-02-01  1.7331
1981-03-01  1.7325
1981-04-01  1.6846
1981-05-01  1.5949
1981-06-01  1.5361
1981-07-01  1.4940
1981-08-01  1.4604
1981-09-01  1.5504
1981-10-01  1.5750
1981-11-01  1.5895
1981-12-01  1.5730
1982-01-01  1.5397
1982-02-01  1.4886
1982-03-01  1.4725
1982-04-01  1.4422
1982-05-01  1.4960
1982-06-01  1.4192
1982-07-01  1.3948
1982-08-01  1.3854
1982-09-01  1.3653
1982-10-01  1.3436
1982-11-01  1.3291
1982-12-01  1.3769
1983-01-01  1.3916
1983-02-01  1.3681
1983-03-01  1.3479
1983-04-01  1.2953
1983-05-01  1.2811
1983-06-01  1.2381
1983-07-01  1.2187
1983-08-01  1.1799
1983-09-01  1.1741
1983-10-01  1.1915
1983-11-01  1.1585
1983-12-01  1.1291
1984-01-01  1.1020
1984-02-01  1.1421
1984-03-01  1.1789
1984-04-01  1.1567
1984-05-01  1.1175
1984-06-01  1.1167
1984-07-01  1.0763
1984-08-01  1.0684
1984-09-01  1.0228
1984-10-01  1.0085
1984-11-01  1.0341
1984-12-01  1.0037
1985-01-01  0.9823
1985-02-01  0.9423
1985-03-01  0.9458
1985-04-01  1.0117
1985-05-01  1.0071
1985-06-01  1.0219
1985-07-01  1.0779
1985-08-01  1.1143
1985-09-01  1.0955
1985-10-01  1.1700
1985-11-01  1.1919
1985-12-01  1.2248
1986-01-01  1.2475
1986-02-01  1.2979
1986-03-01  1.3287
1986-04-01  1.3371
1986-05-01  1.3662
1986-06-01  1.3568
1986-07-01  1.3900
1986-08-01  1.3467
1986-09-01  1.3453
1986-10-01  1.3589
1986-11-01  1.3464
1986-12-01  1.3678
1987-01-01  1.4390
1987-02-01  1.4593
1987-03-01  1.4554
1987-04-01  1.4754
1987-05-01  1.4960
1987-06-01  1.4725
1987-07-01  1.4499
1987-08-01  1.4418
1987-09-01  1.4754
1987-10-01  1.4872
1987-11-01  1.5808
1987-12-01  1.6263
1988-01-01  1.6064
1988-02-01  1.5687
1988-03-01  1.5933
1988-04-01  1.5981
1988-05-01  1.5778
1988-06-01  1.5265
1988-07-01  1.4549
1988-08-01  1.4217
1988-09-01  1.4360
1988-10-01  1.4730
1988-11-01  1.5270
1988-12-01  1.5229
1989-01-01  1.4582
1989-02-01  1.4410
1989-03-01  1.4284
1989-04-01  1.4267
1989-05-01  1.3739
1989-06-01  1.3492
1989-07-01  1.4126
1989-08-01  1.3843
1989-09-01  1.3671
1989-10-01  1.4250
1989-11-01  1.4473
1989-12-01  1.5165
1990-01-01  1.5631
1990-02-01  1.5828
1990-03-01  1.5626
1990-04-01  1.5897
1990-05-01  1.6121
1990-06-01  1.5928
1990-07-01  1.6375
1990-08-01  1.7086
1990-09-01  1.7091
1990-10-01  1.7604
1990-11-01  1.8018
1990-12-01  1.7777
1991-01-01  1.7691
1991-02-01  1.7981
1991-03-01  1.6554
1991-04-01  1.5712
1991-05-01  1.5568
1991-06-01  1.5005
1991-07-01  1.4985
1991-08-01  1.5338
1991-09-01  1.5787
1991-10-01  1.5821
1991-11-01  1.6475
1991-12-01  1.7046
1992-01-01  1.6873
1992-02-01  1.6487
1992-03-01  1.6050
1992-04-01  1.6165
1992-05-01  1.6462
1992-06-01  1.6980
1992-07-01  1.7876
1992-08-01  1.8326
1992-09-01  1.8190
1992-10-01  1.7719
1992-11-01  1.6617
1992-12-01  1.6671
1993-01-01  1.6337
1993-02-01  1.4811
1993-03-01  1.4758
1993-04-01  1.5275
1993-05-01  1.5165
1993-06-01  1.4747
1993-07-01  1.4083
1993-08-01  1.3905
1993-09-01  1.4340
1993-10-01  1.4319
1993-11-01  1.4031
1993-12-01  1.4182
1994-01-01  1.4303
1994-02-01  1.4191
1994-03-01  1.4340
1994-04-01  1.4342
1994-05-01  1.4712
1994-06-01  1.4954
1994-07-01  1.5279
1994-08-01  1.5222
1994-09-01  1.5461
1994-10-01  1.5864
1994-11-01  1.5639
1994-12-01  1.5336
1995-01-01  1.5567
1995-02-01  1.5620
1995-03-01  1.5976
1995-04-01  1.6280
1995-05-01  1.6198
1995-06-01  1.6287
1995-07-01  1.6396
1995-08-01  1.6025
1995-09-01  1.5905
1995-10-01  1.6132
1995-11-01  1.6054
1995-12-01  1.5918
1996-01-01  1.5818
1996-02-01  1.5810
1996-03-01  1.5721
1996-04-01  1.5651
1996-05-01  1.5629
1996-06-01  1.5831
1996-07-01  1.6031
1996-08-01  1.6108
1996-09-01  1.6096
1996-10-01  1.6083
1996-11-01  1.6645
1996-12-01  1.6593
1997-01-01  1.6311
1997-02-01  1.5860
1997-03-01  1.5657
1997-04-01  1.5505
