Title;Series ID;Source;Release;Seasonal Adjustment;Frequency;Units;Date Range;Last Updated;Notes
South Korea / U.S. Foreign Exchange Rate;AEXKOUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;South Korean Won to One U.S. Dollar;1981-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
Brazil / U.S. Foreign Exchange Rate;AEXBZUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;Brazilian Reals to One U.S. Dollar;1995-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
Venezuela / U.S. Foreign Exchange Rate;AEXVZUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;Venezuelan Bolivares to One U.S. Dollar;1995-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
China / U.S. Foreign Exchange Rate;AEXCHUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;Chinese Yuan to One U.S. Dollar;1981-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
Taiwan / U.S. Foreign Exchange Rate;AEXTAUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;New Taiwan Dollars to One U.S. Dollar;1983-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
Singapore / U.S. Foreign Exchange Rate;AEXSIUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;Singapore Dollars to One U.S. Dollar;1981-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
U.S. / New Zealand Foreign Exchange Rate;AEXUSNZ;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;U.S. Dollars to One New Zealand Dollar;1971-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
Sri Lanka / U.S. Foreign Exchange Rate;AEXSLUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;Sri Lankan Rupees to One U.S. Dollar;1973-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
India / U.S. Foreign Exchange Rate;AEXINUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;Indian Rupees to One U.S. Dollar;1973-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
Sweden / U.S. Foreign Exchange Rate;AEXSDUS;Board of Governors of the Federal Reserve System (US);G.5A Foreign Exchange Rates;Not Seasonally Adjusted;Annual;Swedish Kronor to One U.S. Dollar;1971-01-01 to 2018-01-01;2019-01-07 6:01 AM CST;Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
